,index,date,hits,keyword,geo,time,gprop,category
0,0,2019-01-01,234,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
1,1,2019-02-01,247,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
2,2,2019-03-01,282,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
3,3,2019-04-01,217,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
4,4,2019-05-01,250,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
5,5,2019-06-01,319,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
6,6,2019-07-01,262,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
7,7,2019-08-01,255,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
8,8,2019-09-01,314,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
9,9,2019-10-01,251,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
10,10,2019-11-01,263,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
11,11,2019-12-01,415,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
12,12,2020-01-01,294,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
13,13,2020-02-01,72,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
14,0,2019-01-01,251,Apparel,PH,2019-01-01 2020-02-02,web,68
15,1,2019-02-01,267,Apparel,PH,2019-01-01 2020-02-02,web,68
16,2,2019-03-01,334,Apparel,PH,2019-01-01 2020-02-02,web,68
17,3,2019-04-01,233,Apparel,PH,2019-01-01 2020-02-02,web,68
18,4,2019-05-01,251,Apparel,PH,2019-01-01 2020-02-02,web,68
19,5,2019-06-01,330,Apparel,PH,2019-01-01 2020-02-02,web,68
20,6,2019-07-01,290,Apparel,PH,2019-01-01 2020-02-02,web,68
21,7,2019-08-01,281,Apparel,PH,2019-01-01 2020-02-02,web,68
22,8,2019-09-01,350,Apparel,PH,2019-01-01 2020-02-02,web,68
23,9,2019-10-01,302,Apparel,PH,2019-01-01 2020-02-02,web,68
24,10,2019-11-01,332,Apparel,PH,2019-01-01 2020-02-02,web,68
25,11,2019-12-01,438,Apparel,PH,2019-01-01 2020-02-02,web,68
26,12,2020-01-01,282,Apparel,PH,2019-01-01 2020-02-02,web,68
27,13,2020-02-01,69,Apparel,PH,2019-01-01 2020-02-02,web,68
28,0,2019-01-01,296,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
29,1,2019-02-01,295,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
30,2,2019-03-01,383,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
31,3,2019-04-01,270,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
32,4,2019-05-01,280,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
33,5,2019-06-01,437,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
34,6,2019-07-01,339,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
35,7,2019-08-01,291,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
36,8,2019-09-01,363,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
37,9,2019-10-01,294,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
38,10,2019-11-01,302,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
39,11,2019-12-01,373,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
40,12,2020-01-01,279,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
41,13,2020-02-01,67,Apparel Services,PH,2019-01-01 2020-02-02,web,1228
42,0,2019-01-01,213,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
43,1,2019-02-01,226,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
44,2,2019-03-01,264,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
45,3,2019-04-01,202,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
46,4,2019-05-01,207,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
47,5,2019-06-01,286,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
48,6,2019-07-01,233,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
49,7,2019-08-01,254,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
50,8,2019-09-01,297,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
51,9,2019-10-01,261,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
52,10,2019-11-01,286,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
53,11,2019-12-01,438,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
54,12,2020-01-01,306,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
55,13,2020-02-01,83,Athletic Apparel,PH,2019-01-01 2020-02-02,web,983
56,0,2019-01-01,329,Baked Goods,PH,2019-01-01 2020-02-02,web,907
57,1,2019-02-01,341,Baked Goods,PH,2019-01-01 2020-02-02,web,907
58,2,2019-03-01,396,Baked Goods,PH,2019-01-01 2020-02-02,web,907
59,3,2019-04-01,273,Baked Goods,PH,2019-01-01 2020-02-02,web,907
60,4,2019-05-01,286,Baked Goods,PH,2019-01-01 2020-02-02,web,907
