,index,date,hits,keyword,geo,time,gprop,category
0,0,2019-01-06,56,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
1,1,2019-01-13,61,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
2,2,2019-01-20,55,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
3,3,2019-01-27,62,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
4,4,2019-02-03,65,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
5,5,2019-02-10,62,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
6,6,2019-02-17,59,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
7,7,2019-02-24,61,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
8,8,2019-03-03,56,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
9,9,2019-03-10,55,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
10,10,2019-03-17,62,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
11,11,2019-03-24,56,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
12,12,2019-03-31,53,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
13,13,2019-04-07,53,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
14,14,2019-04-14,58,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
15,15,2019-04-21,52,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
16,16,2019-04-28,54,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
17,17,2019-05-05,61,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
18,18,2019-05-12,64,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
19,19,2019-05-19,60,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
20,20,2019-05-26,65,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
21,21,2019-06-02,62,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
22,22,2019-06-09,63,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
23,23,2019-06-16,66,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
24,24,2019-06-23,64,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
25,25,2019-06-30,64,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
26,26,2019-07-07,64,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
27,27,2019-07-14,65,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
28,28,2019-07-21,59,Alcoholic Beverages,PH,2019-01-01 2020-02-02,web,277
