,index,value,subject,related_queries,geo,keyword,category
0,0,beer,100,top,PH,Alcoholic Beverages,277
1,1,wine,96,top,PH,Alcoholic Beverages,277
2,2,alcohol,83,top,PH,Alcoholic Beverages,277
3,3,san miguel,45,top,PH,Alcoholic Beverages,277
4,4,gin,38,top,PH,Alcoholic Beverages,277
5,5,martini,37,top,PH,Alcoholic Beverages,277
6,6,cocktail,33,top,PH,Alcoholic Beverages,277
7,7,drinks,33,top,PH,Alcoholic Beverages,277
8,8,whiskey,26,top,PH,Alcoholic Beverages,277
9,9,vodka,24,top,PH,Alcoholic Beverages,277
10,10,tequila,23,top,PH,Alcoholic Beverages,277
11,11,pornstar martini recipe,23,top,PH,Alcoholic Beverages,277
12,12,sarap,20,top,PH,Alcoholic Beverages,277
13,13,whisky,20,top,PH,Alcoholic Beverages,277
14,14,liquor,19,top,PH,Alcoholic Beverages,277
15,15,hangover,18,top,PH,Alcoholic Beverages,277
16,16,champagne,17,top,PH,Alcoholic Beverages,277
17,17,johnnie walker,15,top,PH,Alcoholic Beverages,277
18,18,jack daniels,14,top,PH,Alcoholic Beverages,277
19,19,red wine,14,top,PH,Alcoholic Beverages,277
20,20,ginebra vs meralco,14,top,PH,Alcoholic Beverages,277
21,21,flask,13,top,PH,Alcoholic Beverages,277
22,22,bacardi,13,top,PH,Alcoholic Beverages,277
23,23,troye sivan,13,top,PH,Alcoholic Beverages,277
24,24,smirnoff,12,top,PH,Alcoholic Beverages,277
25,0,pornstar martini ingredients,Breakout,rising,PH,Alcoholic Beverages,277
26,1,sarap beh.com,Breakout,rising,PH,Alcoholic Beverages,277
27,2,magnolia vs san miguel 2019,Breakout,rising,PH,Alcoholic Beverages,277
28,3,everglow profile,Breakout,rising,PH,Alcoholic Beverages,277
29,4,pornstar martini with passoa,Breakout,rising,PH,Alcoholic Beverages,277
30,5,sarap bhe.com,Breakout,rising,PH,Alcoholic Beverages,277
31,6,ginebra vs meralco game 1,"+4,850%",rising,PH,Alcoholic Beverages,277
32,7,embassy whiskey,"+4,550%",rising,PH,Alcoholic Beverages,277
33,8,pornstar martini cocktail recipe,"+4,100%",rising,PH,Alcoholic Beverages,277
34,9,alain robert,"+3,600%",rising,PH,Alcoholic Beverages,277
35,10,angie mead king,"+3,550%",rising,PH,Alcoholic Beverages,277
36,11,pims goc,"+2,800%",rising,PH,Alcoholic Beverages,277
37,12,pornstar martini cocktail,"+2,400%",rising,PH,Alcoholic Beverages,277
38,13,cosmic carabao gin,"+1,950%",rising,PH,Alcoholic Beverages,277
39,14,ginebra vs meralco,+800%,rising,PH,Alcoholic Beverages,277
40,15,sarap beh,+750%,rising,PH,Alcoholic Beverages,277
41,16,pornstar martini recipe,+650%,rising,PH,Alcoholic Beverages,277
42,17,hydro flask,+550%,rising,PH,Alcoholic Beverages,277
43,18,piper rockelle,+550%,rising,PH,Alcoholic Beverages,277
44,19,everglow,+450%,rising,PH,Alcoholic Beverages,277
45,20,hydro flask price,+350%,rising,PH,Alcoholic Beverages,277
46,21,kirin 980,+300%,rising,PH,Alcoholic Beverages,277
47,22,meralco vs san miguel,+300%,rising,PH,Alcoholic Beverages,277
48,23,hydroflask,+250%,rising,PH,Alcoholic Beverages,277
49,24,sarap bhe,+250%,rising,PH,Alcoholic Beverages,277
50,0,shoes,100,top,PH,Apparel,68
51,1,lazada,76,top,PH,Apparel,68
52,2,nike,53,top,PH,Apparel,68
53,3,dress,42,top,PH,Apparel,68
54,4,adidas,40,top,PH,Apparel,68
55,5,costume,36,top,PH,Apparel,68
56,6,black,31,top,PH,Apparel,68
57,7,white,30,top,PH,Apparel,68
58,8,bag,27,top,PH,Apparel,68
59,9,jacket,15,top,PH,Apparel,68
60,10,nike shoes,14,top,PH,Apparel,68
61,11,jordan,14,top,PH,Apparel,68
62,12,google,11,top,PH,Apparel,68
63,13,jeans,10,top,PH,Apparel,68
64,14,boots,10,top,PH,Apparel,68
65,15,dresses,9,top,PH,Apparel,68
66,16,mask,9,top,PH,Apparel,68
67,17,diamond,9,top,PH,Apparel,68
68,18,sandals,9,top,PH,Apparel,68
69,19,gucci,8,top,PH,Apparel,68
70,20,adidas shoes,8,top,PH,Apparel,68
71,21,yeezy,8,top,PH,Apparel,68
72,22,suit,8,top,PH,Apparel,68
73,23,andrea brillantes,8,top,PH,Apparel,68
74,24,sneakers,8,top,PH,Apparel,68
75,0,facebook dark mode,Breakout,rising,PH,Apparel,68
76,1,7 rings,Breakout,rising,PH,Apparel,68
77,2,7 rings lyrics,Breakout,rising,PH,Apparel,68
78,3,dark mode,Breakout,rising,PH,Apparel,68
79,4,how to dark mode messenger,"+4,050%",rising,PH,Apparel,68
80,5,messenger dark mode,"+3,800%",rising,PH,Apparel,68
81,6,ayala mall manila bay,"+3,000%",rising,PH,Apparel,68
82,7,how to dark mode facebook,"+2,600%",rising,PH,Apparel,68
83,8,spongebob shoes,"+2,200%",rising,PH,Apparel,68
84,9,instagram dark mode,"+1,750%",rising,PH,Apparel,68
85,10,mstr shirt,"+1,650%",rising,PH,Apparel,68
86,11,how to use lazada wallet,"+1,200%",rising,PH,Apparel,68
87,12,vagabond,"+1,050%",rising,PH,Apparel,68
88,13,air max 720,+950%,rising,PH,Apparel,68
89,14,five feet apart,+750%,rising,PH,Apparel,68
90,15,ucu portal,+500%,rising,PH,Apparel,68
91,16,how to wear face mask,+300%,rising,PH,Apparel,68
92,17,mia melano,+250%,rising,PH,Apparel,68
93,18,lisa manoban,+250%,rising,PH,Apparel,68
94,19,bucket hat,+250%,rising,PH,Apparel,68
95,20,lazada app,+190%,rising,PH,Apparel,68
96,21,bragais shoes,+150%,rising,PH,Apparel,68
97,22,trousers,+140%,rising,PH,Apparel,68
98,23,nike air max 270,+140%,rising,PH,Apparel,68
99,24,kyt helmet,+140%,rising,PH,Apparel,68
100,0,charcoal,100,top,PH,Apparel Services,1228
101,1,cheeks,78,top,PH,Apparel Services,1228
102,2,tailor,72,top,PH,Apparel Services,1228
103,3,dry cleaning,57,top,PH,Apparel Services,1228
104,4,cheek,54,top,PH,Apparel Services,1228
105,5,valet,36,top,PH,Apparel Services,1228
106,6,3d ultrasound,33,top,PH,Apparel Services,1228
107,7,laundry business,31,top,PH,Apparel Services,1228
108,8,4d ultrasound,26,top,PH,Apparel Services,1228
109,9,dry clean,23,top,PH,Apparel Services,1228
110,10,alteration,19,top,PH,Apparel Services,1228
111,11,dry cleaning near me,17,top,PH,Apparel Services,1228
112,12,lucky patcher,16,top,PH,Apparel Services,1228
113,13,laundry service,14,top,PH,Apparel Services,1228
114,14,tailoring shop,14,top,PH,Apparel Services,1228
115,15,shoe glue,14,top,PH,Apparel Services,1228
116,16,lucky patcher custom patches,14,top,PH,Apparel Services,1228
117,17,cheeks means,12,top,PH,Apparel Services,1228
118,18,charcoal briquettes,12,top,PH,Apparel Services,1228
119,19,alterations,12,top,PH,Apparel Services,1228
120,20,tailoring shop near me,10,top,PH,Apparel Services,1228
121,21,valet meaning,9,top,PH,Apparel Services,1228
122,22,charcoal soap,7,top,PH,Apparel Services,1228
123,23,estilo,7,top,PH,Apparel Services,1228
124,24,google,5,top,PH,Apparel Services,1228
125,0,lucky patcher,Breakout,rising,PH,Apparel Services,1228
126,1,lucky patcher custom patches,Breakout,rising,PH,Apparel Services,1228
127,2,cheeky meaning,Breakout,rising,PH,Apparel Services,1228
128,3,emma heming,Breakout,rising,PH,Apparel Services,1228
129,4,laundry shop near me,Breakout,rising,PH,Apparel Services,1228
130,5,cheeks in tagalog,Breakout,rising,PH,Apparel Services,1228
131,6,dry cleaning services near me,Breakout,rising,PH,Apparel Services,1228
132,7,cosmotech,Breakout,rising,PH,Apparel Services,1228
133,8,.q,Breakout,rising,PH,Apparel Services,1228
134,9,dry cleaning near me,+190%,rising,PH,Apparel Services,1228
135,10,royal tailor,+160%,rising,PH,Apparel Services,1228
136,11,tailoring shop near me,+160%,rising,PH,Apparel Services,1228
137,12,alterations,+100%,rising,PH,Apparel Services,1228
138,13,estilo,+80%,rising,PH,Apparel Services,1228
139,14,gehenna,+70%,rising,PH,Apparel Services,1228
140,15,valet,+70%,rising,PH,Apparel Services,1228
141,16,dry cleaning,+60%,rising,PH,Apparel Services,1228
142,17,charcoal briquettes,+50%,rising,PH,Apparel Services,1228
143,18,valet meaning,+50%,rising,PH,Apparel Services,1228
144,19,3d ultrasound,+40%,rising,PH,Apparel Services,1228
145,20,shoe glue,+40%,rising,PH,Apparel Services,1228
146,0,nike,100,top,PH,Athletic Apparel,983
147,1,adidas,51,top,PH,Athletic Apparel,983
148,2,jordan,44,top,PH,Athletic Apparel,983
149,3,kobe,30,top,PH,Athletic Apparel,983
150,4,onitsuka,27,top,PH,Athletic Apparel,983
151,5,fila,27,top,PH,Athletic Apparel,983
152,6,jordan shoes,26,top,PH,Athletic Apparel,983
153,7,kobe shoes,25,top,PH,Athletic Apparel,983
154,8,onitsuka tiger,21,top,PH,Athletic Apparel,983
155,9,air max 97,18,top,PH,Athletic Apparel,983
156,10,shoes fila,16,top,PH,Athletic Apparel,983
157,11,stan smith,15,top,PH,Athletic Apparel,983
158,12,under armour,15,top,PH,Athletic Apparel,983
159,13,jogging,13,top,PH,Athletic Apparel,983
160,14,nike shoes,12,top,PH,Athletic Apparel,983
161,15,sneakers,9,top,PH,Athletic Apparel,983
162,16,kappa,8,top,PH,Athletic Apparel,983
163,17,onitsuka shoes,8,top,PH,Athletic Apparel,983
164,18,air jordan,8,top,PH,Athletic Apparel,983
165,19,jogging pants,7,top,PH,Athletic Apparel,983
166,20,adidas pants,6,top,PH,Athletic Apparel,983
167,21,stan smith adidas,6,top,PH,Athletic Apparel,983
168,22,mike,6,top,PH,Athletic Apparel,983
169,23,nike jordan,6,top,PH,Athletic Apparel,983
170,24,jordan 1,6,top,PH,Athletic Apparel,983
171,0,adidas 2019,Breakout,rising,PH,Athletic Apparel,983
172,1,kappa investment,Breakout,rising,PH,Athletic Apparel,983
173,2,kobe focus shoes,Breakout,rising,PH,Athletic Apparel,983
174,3,jordan 34,Breakout,rising,PH,Athletic Apparel,983
175,4,nike court royale,Breakout,rising,PH,Athletic Apparel,983
176,5,jumpman 2020,Breakout,rising,PH,Athletic Apparel,983
177,6,lou,Breakout,rising,PH,Athletic Apparel,983
178,7,kobe shoes 2020,Breakout,rising,PH,Athletic Apparel,983
179,8,new jordan shoes 2019,Breakout,rising,PH,Athletic Apparel,983
180,9,adidas ultra boost 2019,Breakout,rising,PH,Athletic Apparel,983
181,10,jordan jumpman 2020,Breakout,rising,PH,Athletic Apparel,983
182,11,kappa investment 2019,Breakout,rising,PH,Athletic Apparel,983
183,12,biker shorts,Breakout,rising,PH,Athletic Apparel,983
184,13,supercourt adidas,Breakout,rising,PH,Athletic Apparel,983
185,14,mike budenholzer,Breakout,rising,PH,Athletic Apparel,983
186,15,sean wotherspoon air max 97,Breakout,rising,PH,Athletic Apparel,983
187,16,kappa investment 2018,Breakout,rising,PH,Athletic Apparel,983
188,17,adidas casual shoes,Breakout,rising,PH,Athletic Apparel,983
189,18,titan22,Breakout,rising,PH,Athletic Apparel,983
190,19,lululemon usa,"+3,900%",rising,PH,Athletic Apparel,983
191,20,kappa logo,"+3,800%",rising,PH,Athletic Apparel,983
192,21,jordan shoes 2019,"+2,300%",rising,PH,Athletic Apparel,983
193,22,singlet meaning,"+1,900%",rising,PH,Athletic Apparel,983
194,23,kapa,"+1,200%",rising,PH,Athletic Apparel,983
195,24,kobe shoes 2019,+750%,rising,PH,Athletic Apparel,983
196,0,cake,100,top,PH,Baked Goods,907
197,1,bread,19,top,PH,Baked Goods,907
198,2,cakes,19,top,PH,Baked Goods,907
199,3,chocolate,17,top,PH,Baked Goods,907
200,4,cookies,16,top,PH,Baked Goods,907
201,5,cake design,11,top,PH,Baked Goods,907
202,6,birthday cake,10,top,PH,Baked Goods,907
203,7,goldilocks,9,top,PH,Baked Goods,907
204,8,cake recipe,9,top,PH,Baked Goods,907
205,9,cupcake,7,top,PH,Baked Goods,907
206,10,goldilocks cake,7,top,PH,Baked Goods,907
207,11,bakery,7,top,PH,Baked Goods,907
208,12,chocolate cake,7,top,PH,Baked Goods,907
209,13,pastel,7,top,PH,Baked Goods,907
210,14,cheesecake,6,top,PH,Baked Goods,907
211,15,cupcakes,6,top,PH,Baked Goods,907
212,16,icing,6,top,PH,Baked Goods,907
213,17,red ribbon,5,top,PH,Baked Goods,907
214,18,pie,4,top,PH,Baked Goods,907
215,19,fondant,4,top,PH,Baked Goods,907
216,20,red ribbon cake,4,top,PH,Baked Goods,907
217,21,contis cake,3,top,PH,Baked Goods,907
218,22,red velvet,3,top,PH,Baked Goods,907
219,23,google,3,top,PH,Baked Goods,907
220,24,cookies recipe,3,top,PH,Baked Goods,907
221,0,solenn cookies,"+4,750%",rising,PH,Baked Goods,907
222,1,mood cookies,"+4,750%",rising,PH,Baked Goods,907
223,2,christening decoration ideas,"+1,950%",rising,PH,Baked Goods,907
224,3,paint brush sizes,"+1,450%",rising,PH,Baked Goods,907
225,4,goldilocks unicorn cake,"+1,300%",rising,PH,Baked Goods,907
226,5,bens cookies,+650%,rising,PH,Baked Goods,907
227,6,levain cookies,+450%,rising,PH,Baked Goods,907
228,7,money cake design,+300%,rising,PH,Baked Goods,907
229,8,cara mia cakes,+300%,rising,PH,Baked Goods,907
230,9,boulangerie,+300%,rising,PH,Baked Goods,907
231,10,uraro cookies,+300%,rising,PH,Baked Goods,907
232,11,cake shop near me,+250%,rising,PH,Baked Goods,907
233,12,soggy,+250%,rising,PH,Baked Goods,907
234,13,unicorn cake design,+250%,rising,PH,Baked Goods,907
235,14,crinkle cookies,+250%,rising,PH,Baked Goods,907
236,15,blackpink cake,+200%,rising,PH,Baked Goods,907
237,16,cooky,+170%,rising,PH,Baked Goods,907
238,17,caramia cake,+170%,rising,PH,Baked Goods,907
239,18,paw patrol cake design,+160%,rising,PH,Baked Goods,907
240,19,cakes near me,+150%,rising,PH,Baked Goods,907
241,20,peach mango pie,+150%,rising,PH,Baked Goods,907
242,21,honey butter almond,+140%,rising,PH,Baked Goods,907
243,22,money cake,+140%,rising,PH,Baked Goods,907
244,23,pecan pie,+140%,rising,PH,Baked Goods,907
245,24,bakery near me,+130%,rising,PH,Baked Goods,907
246,0,bpi,100,top,PH,Banking,37
247,1,bank,74,top,PH,Banking,37
248,2,bts,58,top,PH,Banking,37
249,3,metrobank,36,top,PH,Banking,37
250,4,bdo,32,top,PH,Banking,37
251,5,online bpi,32,top,PH,Banking,37
252,6,account,31,top,PH,Banking,37
253,7,banking,25,top,PH,Banking,37
254,8,security bank,20,top,PH,Banking,37
255,9,landbank,17,top,PH,Banking,37
256,10,online banking,16,top,PH,Banking,37
257,11,metrobank direct,14,top,PH,Banking,37
258,12,atm,14,top,PH,Banking,37
