,index,value,subject,related_queries,geo,keyword,category,timeframe
0,0,meralco vs ginebra,100,top,PH,Alcoholic Beverages,277,Jan-2020
1,1,alcohol,88,top,PH,Alcoholic Beverages,277,Jan-2020
2,2,wine,78,top,PH,Alcoholic Beverages,277,Jan-2020
3,3,beer,71,top,PH,Alcoholic Beverages,277,Jan-2020
4,4,martini,40,top,PH,Alcoholic Beverages,277,Jan-2020
5,5,san miguel,37,top,PH,Alcoholic Beverages,277,Jan-2020
6,6,cocktail,34,top,PH,Alcoholic Beverages,277,Jan-2020
7,7,gin,30,top,PH,Alcoholic Beverages,277,Jan-2020
8,8,tequila,24,top,PH,Alcoholic Beverages,277,Jan-2020
9,9,pornstar martini cocktail,24,top,PH,Alcoholic Beverages,277,Jan-2020
10,10,vodka,23,top,PH,Alcoholic Beverages,277,Jan-2020
11,11,whiskey,22,top,PH,Alcoholic Beverages,277,Jan-2020
12,12,whisky,22,top,PH,Alcoholic Beverages,277,Jan-2020
13,13,pornstar martini recipe,20,top,PH,Alcoholic Beverages,277,Jan-2020
14,14,corona,17,top,PH,Alcoholic Beverages,277,Jan-2020
15,15,champagne,16,top,PH,Alcoholic Beverages,277,Jan-2020
16,16,liquor,15,top,PH,Alcoholic Beverages,277,Jan-2020
17,17,johnnie walker,15,top,PH,Alcoholic Beverages,277,Jan-2020
18,18,hangover,13,top,PH,Alcoholic Beverages,277,Jan-2020
19,19,google,13,top,PH,Alcoholic Beverages,277,Jan-2020
20,20,bacardi,9,top,PH,Alcoholic Beverages,277,Jan-2020
21,21,margarita,9,top,PH,Alcoholic Beverages,277,Jan-2020
22,22,hydro flask,9,top,PH,Alcoholic Beverages,277,Jan-2020
23,23,carlo rossi,9,top,PH,Alcoholic Beverages,277,Jan-2020
24,24,midoriya,8,top,PH,Alcoholic Beverages,277,Jan-2020
25,0,ginebra vs meralco score,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
26,1,ginebra vs meralco schedule,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
27,2,vodka beers and regrets,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
28,3,ginebra vs meralco game 1,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
29,4,ginebra vs meralco game 2,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
30,5,on vodka beers and regrets,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
31,6,ginebra vs meralco game 4,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
32,7,lambingan su,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
33,8,delight drink,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
34,9,ginebra vs meralco game 5,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
35,10,beer lyrics,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
36,11,meralco vs ginebra,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
37,12,conundrum,Breakout,rising,PH,Alcoholic Beverages,277,Jan-2020
38,13,corona,+500%,rising,PH,Alcoholic Beverages,277,Jan-2020
39,14,pornstar martini cocktail,+300%,rising,PH,Alcoholic Beverages,277,Jan-2020
40,15,corona beer,+250%,rising,PH,Alcoholic Beverages,277,Jan-2020
41,16,green cross alcohol,+200%,rising,PH,Alcoholic Beverages,277,Jan-2020
42,17,piper rockelle,+200%,rising,PH,Alcoholic Beverages,277,Jan-2020
43,18,grapes,+190%,rising,PH,Alcoholic Beverages,277,Jan-2020
44,19,tanqueray,+190%,rising,PH,Alcoholic Beverages,277,Jan-2020
45,20,champagne color,+150%,rising,PH,Alcoholic Beverages,277,Jan-2020
46,21,brandy melville,+110%,rising,PH,Alcoholic Beverages,277,Jan-2020
47,22,sarap beh.com,+100%,rising,PH,Alcoholic Beverages,277,Jan-2020
48,23,anime dao,+70%,rising,PH,Alcoholic Beverages,277,Jan-2020
49,24,midoriya,+50%,rising,PH,Alcoholic Beverages,277,Jan-2020
50,0,alcohol,100,top,PH,Alcoholic Beverages,277,Feb-2020
51,1,wine,81,top,PH,Alcoholic Beverages,277,Feb-2020
52,2,beer,77,top,PH,Alcoholic Beverages,277,Feb-2020
53,3,vodka,57,top,PH,Alcoholic Beverages,277,Feb-2020
54,4,vodka beers and regrets,40,top,PH,Alcoholic Beverages,277,Feb-2020
55,5,cocktail,36,top,PH,Alcoholic Beverages,277,Feb-2020
56,6,gin,31,top,PH,Alcoholic Beverages,277,Feb-2020
57,7,on vodka beers and regrets,28,top,PH,Alcoholic Beverages,277,Feb-2020
58,8,san miguel,26,top,PH,Alcoholic Beverages,277,Feb-2020
59,9,corona,24,top,PH,Alcoholic Beverages,277,Feb-2020
60,10,whiskey,19,top,PH,Alcoholic Beverages,277,Feb-2020
61,11,pornstar martini recipe,19,top,PH,Alcoholic Beverages,277,Feb-2020
62,12,tequila,16,top,PH,Alcoholic Beverages,277,Feb-2020
63,13,liquor,14,top,PH,Alcoholic Beverages,277,Feb-2020
64,14,flask,13,top,PH,Alcoholic Beverages,277,Feb-2020
65,15,pornstar martini cocktail,13,top,PH,Alcoholic Beverages,277,Feb-2020
66,16,champagne,13,top,PH,Alcoholic Beverages,277,Feb-2020
67,17,hangover,12,top,PH,Alcoholic Beverages,277,Feb-2020
68,18,everglow,12,top,PH,Alcoholic Beverages,277,Feb-2020
69,19,drinking alcohol,12,top,PH,Alcoholic Beverages,277,Feb-2020
70,20,jack daniels,12,top,PH,Alcoholic Beverages,277,Feb-2020
71,21,hydro flask,11,top,PH,Alcoholic Beverages,277,Feb-2020
72,22,mojito,11,top,PH,Alcoholic Beverages,277,Feb-2020
73,23,smirnoff,11,top,PH,Alcoholic Beverages,277,Feb-2020
74,24,johnnie walker,10,top,PH,Alcoholic Beverages,277,Feb-2020
75,0,everglow profile,Breakout,rising,PH,Alcoholic Beverages,277,Feb-2020
76,1,on vodka beers and regrets full movie,Breakout,rising,PH,Alcoholic Beverages,277,Feb-2020
77,2,porn addiction books,Breakout,rising,PH,Alcoholic Beverages,277,Feb-2020
78,3,everglow,"+1,050%",rising,PH,Alcoholic Beverages,277,Feb-2020
79,4,on vodka beers and regrets,+500%,rising,PH,Alcoholic Beverages,277,Feb-2020
80,5,vodka beers and regrets,+350%,rising,PH,Alcoholic Beverages,277,Feb-2020
81,6,molasses,+200%,rising,PH,Alcoholic Beverages,277,Feb-2020
82,7,pina colada,+190%,rising,PH,Alcoholic Beverages,277,Feb-2020
