,index,topic_title,topic_type,subject,related_topics,geo,keyword,category
0,0,Beer,Alcoholic drink,100,top,PH,Alcoholic Beverages,277
1,1,Alcoholic drink,Topic,96,top,PH,Alcoholic Beverages,277
2,2,Wine,Alcoholic drink,92,top,PH,Alcoholic Beverages,277
3,3,Price,Topic,71,top,PH,Alcoholic Beverages,277
4,4,Recipe,Topic,46,top,PH,Alcoholic Beverages,277
5,5,Philippines,Country in Asia,43,top,PH,Alcoholic Beverages,277
6,6,Whisky,Alcoholic beverages,42,top,PH,Alcoholic Beverages,277
7,7,Martini,Cocktail,39,top,PH,Alcoholic Beverages,277
8,8,Gin,Alcoholic drink,32,top,PH,Alcoholic Beverages,277
9,9,Cocktail,Drink,29,top,PH,Alcoholic Beverages,277
10,10,Liquor,Infused spirit style,26,top,PH,Alcoholic Beverages,277
11,11,Alcohol by volume,Topic,24,top,PH,Alcoholic Beverages,277
12,12,Meaning,Topic,23,top,PH,Alcoholic Beverages,277
13,13,Definition,Topic,23,top,PH,Alcoholic Beverages,277
14,14,Vodka,Alcoholic beverages,22,top,PH,Alcoholic Beverages,277
15,15,San Miguel Beer,Topic,21,top,PH,Alcoholic Beverages,277
16,16,Tequila,Alcoholic beverage,21,top,PH,Alcoholic Beverages,277
17,17,Barangay Ginebra San Miguel,Basketball team,21,top,PH,Alcoholic Beverages,277
18,18,Hangover,Topic,20,top,PH,Alcoholic Beverages,277
19,19,Johnnie Walker,Topic,20,top,PH,Alcoholic Beverages,277
20,20,Bar,Drinking establishment type,19,top,PH,Alcoholic Beverages,277
21,21,Brewery,Topic,17,top,PH,Alcoholic Beverages,277
22,22,Rum,Alcoholic beverage,17,top,PH,Alcoholic Beverages,277
23,23,Bacardi,Company,16,top,PH,Alcoholic Beverages,277
24,24,Bottle,Beer container,16,top,PH,Alcoholic Beverages,277
25,0,Meralco Bolts,Basketball team,"+1,000%",rising,PH,Alcoholic Beverages,277
26,1,Pornhub,Website,+200%,rising,PH,Alcoholic Beverages,277
27,2,Rémy Martin,Topic,+180%,rising,PH,Alcoholic Beverages,277
28,3,Percentage,Topic,+160%,rising,PH,Alcoholic Beverages,277
29,4,Anime,Topic,+160%,rising,PH,Alcoholic Beverages,277
30,5,Cider,Beverage,+140%,rising,PH,Alcoholic Beverages,277
31,6,Martini,Cocktail,+130%,rising,PH,Alcoholic Beverages,277
32,7,Dalmore distillery,Bank,+130%,rising,PH,Alcoholic Beverages,277
33,8,Mobile phone,Topic,+130%,rising,PH,Alcoholic Beverages,277
34,9,Barley,Cereal grain,+120%,rising,PH,Alcoholic Beverages,277
35,10,Wine tasting,Topic,+120%,rising,PH,Alcoholic Beverages,277
36,11,Magnolia Hotshots,Basketball team,+110%,rising,PH,Alcoholic Beverages,277
37,12,Cheese,Dairy product,+100%,rising,PH,Alcoholic Beverages,277
38,13,World,Topic,+100%,rising,PH,Alcoholic Beverages,277
39,14,Smoking,Topic,+80%,rising,PH,Alcoholic Beverages,277
40,15,United States,Country in North America,+80%,rising,PH,Alcoholic Beverages,277
41,16,Instagram,Social networking service,+70%,rising,PH,Alcoholic Beverages,277
42,17,Prague,Capital of the Czech Republic,+70%,rising,PH,Alcoholic Beverages,277
43,18,Ingredient,Topic,+60%,rising,PH,Alcoholic Beverages,277
44,19,Alfonso,Municipality in the Philippines,+60%,rising,PH,Alcoholic Beverages,277
45,20,Red,Color,+60%,rising,PH,Alcoholic Beverages,277
46,21,Stout,Beer,+60%,rising,PH,Alcoholic Beverages,277
47,22,Bacardi 151,Topic,+60%,rising,PH,Alcoholic Beverages,277
48,23,Gift,Money,+60%,rising,PH,Alcoholic Beverages,277
49,24,Tiger Beer,Topic,+60%,rising,PH,Alcoholic Beverages,277
50,0,Shoe,Shoe,100,top,PH,Apparel,68
51,1,Lazada Group,Company,70,top,PH,Apparel,68
52,2,Clothing,Topic,52,top,PH,Apparel,68
53,3,Nike,Footwear manufacturing company,49,top,PH,Apparel,68
54,4,Philippines,Country in Asia,46,top,PH,Apparel,68
55,5,Woman,Topic,46,top,PH,Apparel,68
56,6,Dress,Garment,46,top,PH,Apparel,68
57,7,Man,Topic,41,top,PH,Apparel,68
58,8,Adidas,Design company,40,top,PH,Apparel,68
59,9,Price,Topic,36,top,PH,Apparel,68
60,10,Bag,Topic,36,top,PH,Apparel,68
61,11,Shirt,Garment,31,top,PH,Apparel,68
62,12,T-shirt,Clothing,29,top,PH,Apparel,68
63,13,Watch,Topic,22,top,PH,Apparel,68
64,14,Design,Topic,20,top,PH,Apparel,68
