,index,date,hits,keyword,geo,time,gprop,category
0,0,2020-01-01,1295,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
1,1,2020-02-01,1604,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
2,2,2020-03-01,1969,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
3,3,2020-04-01,1635,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
4,4,2020-05-01,1711,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
5,5,2020-06-01,1574,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
6,6,2020-07-01,1129,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
7,0,2020-01-01,1967,Apparel,PH,2020-01-10 2020-07-22,web,68
8,1,2020-02-01,2500,Apparel,PH,2020-01-10 2020-07-22,web,68
9,2,2020-03-01,1935,Apparel,PH,2020-01-10 2020-07-22,web,68
10,3,2020-04-01,1522,Apparel,PH,2020-01-10 2020-07-22,web,68
11,4,2020-05-01,1956,Apparel,PH,2020-01-10 2020-07-22,web,68
12,5,2020-06-01,2149,Apparel,PH,2020-01-10 2020-07-22,web,68
13,6,2020-07-01,1578,Apparel,PH,2020-01-10 2020-07-22,web,68
14,0,2020-01-01,1101,Apparel Services,PH,2020-01-10 2020-07-22,web,1228
15,1,2020-02-01,1677,Apparel Services,PH,2020-01-10 2020-07-22,web,1228
16,2,2020-03-01,1409,Apparel Services,PH,2020-01-10 2020-07-22,web,1228
17,3,2020-04-01,1025,Apparel Services,PH,2020-01-10 2020-07-22,web,1228
18,4,2020-05-01,1663,Apparel Services,PH,2020-01-10 2020-07-22,web,1228
19,5,2020-06-01,1421,Apparel Services,PH,2020-01-10 2020-07-22,web,1228
20,6,2020-07-01,1022,Apparel Services,PH,2020-01-10 2020-07-22,web,1228
21,0,2020-01-01,1131,Athletic Apparel,PH,2020-01-10 2020-07-22,web,983
22,1,2020-02-01,1335,Athletic Apparel,PH,2020-01-10 2020-07-22,web,983
23,2,2020-03-01,904,Athletic Apparel,PH,2020-01-10 2020-07-22,web,983
24,3,2020-04-01,641,Athletic Apparel,PH,2020-01-10 2020-07-22,web,983
25,4,2020-05-01,876,Athletic Apparel,PH,2020-01-10 2020-07-22,web,983
26,5,2020-06-01,972,Athletic Apparel,PH,2020-01-10 2020-07-22,web,983
27,6,2020-07-01,686,Athletic Apparel,PH,2020-01-10 2020-07-22,web,983
