,index,date,hits,keyword,geo,time,gprop,category
0,0,2020-01-10,79,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
1,1,2020-01-11,62,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
2,2,2020-01-12,76,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
3,3,2020-01-13,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
4,4,2020-01-14,54,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
5,5,2020-01-15,76,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
6,6,2020-01-16,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
7,7,2020-01-17,80,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
8,8,2020-01-18,63,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
9,9,2020-01-19,54,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
10,10,2020-01-20,43,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
11,11,2020-01-21,49,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
12,12,2020-01-22,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
13,13,2020-01-23,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
14,14,2020-01-24,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
15,15,2020-01-25,72,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
16,16,2020-01-26,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
17,17,2020-01-27,45,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
18,18,2020-01-28,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
19,19,2020-01-29,47,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
20,20,2020-01-30,62,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
21,21,2020-01-31,71,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
22,22,2020-02-01,61,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
23,23,2020-02-02,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
24,24,2020-02-03,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
25,25,2020-02-04,55,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
26,26,2020-02-05,51,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
27,27,2020-02-06,57,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
28,28,2020-02-07,65,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
29,29,2020-02-08,57,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
30,30,2020-02-09,63,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
31,31,2020-02-10,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
32,32,2020-02-11,54,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
33,33,2020-02-12,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
34,34,2020-02-13,51,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
35,35,2020-02-14,61,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
36,36,2020-02-15,64,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
37,37,2020-02-16,58,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
38,38,2020-02-17,57,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
39,39,2020-02-18,58,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
40,40,2020-02-19,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
41,41,2020-02-20,55,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
42,42,2020-02-21,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
43,43,2020-02-22,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
44,44,2020-02-23,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
45,45,2020-02-24,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
46,46,2020-02-25,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
47,47,2020-02-26,48,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
48,48,2020-02-27,49,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
49,49,2020-02-28,54,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
50,50,2020-02-29,57,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
51,51,2020-03-01,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
52,52,2020-03-02,43,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
53,53,2020-03-03,48,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
54,54,2020-03-04,51,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
55,55,2020-03-05,49,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
56,56,2020-03-06,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
57,57,2020-03-07,62,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
58,58,2020-03-08,63,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
59,59,2020-03-09,67,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
60,60,2020-03-10,66,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
61,61,2020-03-11,89,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
62,62,2020-03-12,100,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
63,63,2020-03-13,91,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
64,64,2020-03-14,90,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
65,65,2020-03-15,80,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
66,66,2020-03-16,71,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
67,67,2020-03-17,73,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
68,68,2020-03-18,66,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
69,69,2020-03-19,66,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
70,70,2020-03-20,65,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
71,71,2020-03-21,65,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
72,72,2020-03-22,60,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
73,73,2020-03-23,55,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
74,74,2020-03-24,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
75,75,2020-03-25,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
76,76,2020-03-26,58,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
77,77,2020-03-27,59,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
78,78,2020-03-28,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
79,79,2020-03-29,60,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
80,80,2020-03-30,51,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
81,81,2020-03-31,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
82,82,2020-04-01,48,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
83,83,2020-04-02,48,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
84,84,2020-04-03,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
85,85,2020-04-04,58,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
86,86,2020-04-05,58,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
87,87,2020-04-06,57,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
88,88,2020-04-07,54,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
89,89,2020-04-08,51,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
90,90,2020-04-09,59,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
91,91,2020-04-10,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
92,92,2020-04-11,59,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
93,93,2020-04-12,61,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
94,94,2020-04-13,55,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
95,95,2020-04-14,54,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
96,96,2020-04-15,51,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
97,97,2020-04-16,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
98,98,2020-04-17,57,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
99,99,2020-04-18,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
100,100,2020-04-19,61,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
101,101,2020-04-20,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
102,102,2020-04-21,64,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
103,103,2020-04-22,61,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
104,104,2020-04-23,44,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
105,105,2020-04-24,55,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
106,106,2020-04-25,59,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
107,107,2020-04-26,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
108,108,2020-04-27,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
109,109,2020-04-28,51,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
110,110,2020-04-29,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
111,111,2020-04-30,59,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
112,112,2020-05-01,60,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
113,113,2020-05-02,63,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
114,114,2020-05-03,62,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
115,115,2020-05-04,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
116,116,2020-05-05,49,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
117,117,2020-05-06,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
118,118,2020-05-07,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
119,119,2020-05-08,55,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
120,120,2020-05-09,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
121,121,2020-05-10,54,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
122,122,2020-05-11,48,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
123,123,2020-05-12,49,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
124,124,2020-05-13,47,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
125,125,2020-05-14,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
126,126,2020-05-15,55,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
127,127,2020-05-16,62,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
128,128,2020-05-17,60,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
129,129,2020-05-18,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
130,130,2020-05-19,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
131,131,2020-05-20,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
132,132,2020-05-21,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
133,133,2020-05-22,57,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
134,134,2020-05-23,68,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
135,135,2020-05-24,58,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
136,136,2020-05-25,63,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
137,137,2020-05-26,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
138,138,2020-05-27,48,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
139,139,2020-05-28,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
140,140,2020-05-29,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
141,141,2020-05-30,59,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
142,142,2020-05-31,63,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
143,143,2020-06-01,48,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
144,144,2020-06-02,54,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
145,145,2020-06-03,42,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
146,146,2020-06-04,48,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
147,147,2020-06-05,54,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
148,148,2020-06-06,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
149,149,2020-06-07,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
150,150,2020-06-08,44,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
151,151,2020-06-09,57,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
152,152,2020-06-10,51,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
153,153,2020-06-11,48,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
154,154,2020-06-12,58,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
155,155,2020-06-13,64,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
156,156,2020-06-14,55,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
157,157,2020-06-15,47,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
158,158,2020-06-16,49,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
159,159,2020-06-17,51,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
160,160,2020-06-18,51,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
161,161,2020-06-19,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
162,162,2020-06-20,64,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
163,163,2020-06-21,58,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
164,164,2020-06-22,51,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
165,165,2020-06-23,57,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
166,166,2020-06-24,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
167,167,2020-06-25,40,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
168,168,2020-06-26,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
169,169,2020-06-27,61,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
170,170,2020-06-28,62,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
171,171,2020-06-29,48,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
172,172,2020-06-30,47,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
173,173,2020-07-01,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
174,174,2020-07-02,48,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
175,175,2020-07-03,52,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
176,176,2020-07-04,58,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
177,177,2020-07-05,61,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
178,178,2020-07-06,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
179,179,2020-07-07,55,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
180,180,2020-07-08,57,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
181,181,2020-07-09,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
182,182,2020-07-10,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
183,183,2020-07-11,64,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
184,184,2020-07-12,49,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
185,185,2020-07-13,50,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
186,186,2020-07-14,49,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
187,187,2020-07-15,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
188,188,2020-07-16,53,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
189,189,2020-07-17,56,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
190,190,2020-07-18,60,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
191,191,2020-07-19,58,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
192,192,2020-07-20,45,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
193,193,2020-07-21,46,Alcoholic Beverages,PH,2020-01-10 2020-07-22,web,277
194,0,2020-01-10,89,Apparel,PH,2020-01-10 2020-07-22,web,68
195,1,2020-01-11,100,Apparel,PH,2020-01-10 2020-07-22,web,68
196,2,2020-01-12,96,Apparel,PH,2020-01-10 2020-07-22,web,68
197,3,2020-01-13,88,Apparel,PH,2020-01-10 2020-07-22,web,68
198,4,2020-01-14,88,Apparel,PH,2020-01-10 2020-07-22,web,68
199,5,2020-01-15,85,Apparel,PH,2020-01-10 2020-07-22,web,68
200,6,2020-01-16,86,Apparel,PH,2020-01-10 2020-07-22,web,68
201,7,2020-01-17,85,Apparel,PH,2020-01-10 2020-07-22,web,68
202,8,2020-01-18,92,Apparel,PH,2020-01-10 2020-07-22,web,68
203,9,2020-01-19,89,Apparel,PH,2020-01-10 2020-07-22,web,68
204,10,2020-01-20,85,Apparel,PH,2020-01-10 2020-07-22,web,68
205,11,2020-01-21,85,Apparel,PH,2020-01-10 2020-07-22,web,68
206,12,2020-01-22,83,Apparel,PH,2020-01-10 2020-07-22,web,68
207,13,2020-01-23,89,Apparel,PH,2020-01-10 2020-07-22,web,68
208,14,2020-01-24,85,Apparel,PH,2020-01-10 2020-07-22,web,68
209,15,2020-01-25,98,Apparel,PH,2020-01-10 2020-07-22,web,68
210,16,2020-01-26,95,Apparel,PH,2020-01-10 2020-07-22,web,68
211,17,2020-01-27,84,Apparel,PH,2020-01-10 2020-07-22,web,68
212,18,2020-01-28,88,Apparel,PH,2020-01-10 2020-07-22,web,68
213,19,2020-01-29,92,Apparel,PH,2020-01-10 2020-07-22,web,68
214,20,2020-01-30,95,Apparel,PH,2020-01-10 2020-07-22,web,68
215,21,2020-01-31,90,Apparel,PH,2020-01-10 2020-07-22,web,68
216,22,2020-02-01,92,Apparel,PH,2020-01-10 2020-07-22,web,68
217,23,2020-02-02,95,Apparel,PH,2020-01-10 2020-07-22,web,68
218,24,2020-02-03,82,Apparel,PH,2020-01-10 2020-07-22,web,68
219,25,2020-02-04,87,Apparel,PH,2020-01-10 2020-07-22,web,68
220,26,2020-02-05,81,Apparel,PH,2020-01-10 2020-07-22,web,68
221,27,2020-02-06,88,Apparel,PH,2020-01-10 2020-07-22,web,68
222,28,2020-02-07,88,Apparel,PH,2020-01-10 2020-07-22,web,68
223,29,2020-02-08,95,Apparel,PH,2020-01-10 2020-07-22,web,68
224,30,2020-02-09,91,Apparel,PH,2020-01-10 2020-07-22,web,68
225,31,2020-02-10,84,Apparel,PH,2020-01-10 2020-07-22,web,68
226,32,2020-02-11,80,Apparel,PH,2020-01-10 2020-07-22,web,68
227,33,2020-02-12,83,Apparel,PH,2020-01-10 2020-07-22,web,68
228,34,2020-02-13,85,Apparel,PH,2020-01-10 2020-07-22,web,68
229,35,2020-02-14,76,Apparel,PH,2020-01-10 2020-07-22,web,68
230,36,2020-02-15,92,Apparel,PH,2020-01-10 2020-07-22,web,68
231,37,2020-02-16,91,Apparel,PH,2020-01-10 2020-07-22,web,68
232,38,2020-02-17,88,Apparel,PH,2020-01-10 2020-07-22,web,68
233,39,2020-02-18,86,Apparel,PH,2020-01-10 2020-07-22,web,68
234,40,2020-02-19,80,Apparel,PH,2020-01-10 2020-07-22,web,68
