,index,date,hits,keyword,geo,time,gprop,category
0,0,2019-01-01,210,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
1,1,2019-02-01,224,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
2,2,2019-03-01,268,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
3,3,2019-04-01,202,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
4,4,2019-05-01,228,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
5,5,2019-06-01,300,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
6,6,2019-07-01,240,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
7,7,2019-08-01,234,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
8,8,2019-09-01,287,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
9,9,2019-10-01,236,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
10,10,2019-11-01,241,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
11,11,2019-12-01,400,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
12,12,2020-01-01,277,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
13,13,2020-02-01,263,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
14,14,2020-03-01,370,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
15,15,2020-04-01,257,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
16,16,2020-05-01,319,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
17,17,2020-06-01,191,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
18,0,2019-01-01,254,Apparel,PH,2019-01-01 2020-06-25,web,68
19,1,2019-02-01,267,Apparel,PH,2019-01-01 2020-06-25,web,68
20,2,2019-03-01,334,Apparel,PH,2019-01-01 2020-06-25,web,68
21,3,2019-04-01,234,Apparel,PH,2019-01-01 2020-06-25,web,68
22,4,2019-05-01,252,Apparel,PH,2019-01-01 2020-06-25,web,68
23,5,2019-06-01,332,Apparel,PH,2019-01-01 2020-06-25,web,68
24,6,2019-07-01,289,Apparel,PH,2019-01-01 2020-06-25,web,68
25,7,2019-08-01,282,Apparel,PH,2019-01-01 2020-06-25,web,68
26,8,2019-09-01,351,Apparel,PH,2019-01-01 2020-06-25,web,68
27,9,2019-10-01,303,Apparel,PH,2019-01-01 2020-06-25,web,68
28,10,2019-11-01,331,Apparel,PH,2019-01-01 2020-06-25,web,68
29,11,2019-12-01,437,Apparel,PH,2019-01-01 2020-06-25,web,68
30,12,2020-01-01,284,Apparel,PH,2019-01-01 2020-06-25,web,68
31,13,2020-02-01,270,Apparel,PH,2019-01-01 2020-06-25,web,68
32,14,2020-03-01,239,Apparel,PH,2019-01-01 2020-06-25,web,68
33,15,2020-04-01,162,Apparel,PH,2019-01-01 2020-06-25,web,68
34,16,2020-05-01,255,Apparel,PH,2019-01-01 2020-06-25,web,68
35,17,2020-06-01,171,Apparel,PH,2019-01-01 2020-06-25,web,68
36,0,2019-01-01,325,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
37,1,2019-02-01,309,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
38,2,2019-03-01,397,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
39,3,2019-04-01,275,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
40,4,2019-05-01,344,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
41,5,2019-06-01,429,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
42,6,2019-07-01,357,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
43,7,2019-08-01,349,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
44,8,2019-09-01,402,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
45,9,2019-10-01,330,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
46,10,2019-11-01,340,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
47,11,2019-12-01,411,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
48,12,2020-01-01,328,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
49,13,2020-02-01,314,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
50,14,2020-03-01,336,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
51,15,2020-04-01,222,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
52,16,2020-05-01,335,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
53,17,2020-06-01,211,Apparel Services,PH,2019-01-01 2020-06-25,web,1228
54,0,2019-01-01,212,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
55,1,2019-02-01,218,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
56,2,2019-03-01,269,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
57,3,2019-04-01,202,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
58,4,2019-05-01,212,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
59,5,2019-06-01,278,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
60,6,2019-07-01,244,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
61,7,2019-08-01,244,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
62,8,2019-09-01,295,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
63,9,2019-10-01,238,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
64,10,2019-11-01,279,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
65,11,2019-12-01,441,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
66,12,2020-01-01,299,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
67,13,2020-02-01,274,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
68,14,2020-03-01,201,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
69,15,2020-04-01,132,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
70,16,2020-05-01,200,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
71,17,2020-06-01,148,Athletic Apparel,PH,2019-01-01 2020-06-25,web,983
72,0,2019-01-01,173,Baked Goods,PH,2019-01-01 2020-06-25,web,907
73,1,2019-02-01,177,Baked Goods,PH,2019-01-01 2020-06-25,web,907
74,2,2019-03-01,214,Baked Goods,PH,2019-01-01 2020-06-25,web,907
75,3,2019-04-01,142,Baked Goods,PH,2019-01-01 2020-06-25,web,907
76,4,2019-05-01,153,Baked Goods,PH,2019-01-01 2020-06-25,web,907
77,5,2019-06-01,221,Baked Goods,PH,2019-01-01 2020-06-25,web,907
78,6,2019-07-01,193,Baked Goods,PH,2019-01-01 2020-06-25,web,907
79,7,2019-08-01,192,Baked Goods,PH,2019-01-01 2020-06-25,web,907
80,8,2019-09-01,241,Baked Goods,PH,2019-01-01 2020-06-25,web,907
81,9,2019-10-01,177,Baked Goods,PH,2019-01-01 2020-06-25,web,907
82,10,2019-11-01,183,Baked Goods,PH,2019-01-01 2020-06-25,web,907
83,11,2019-12-01,236,Baked Goods,PH,2019-01-01 2020-06-25,web,907
84,12,2020-01-01,175,Baked Goods,PH,2019-01-01 2020-06-25,web,907
85,13,2020-02-01,189,Baked Goods,PH,2019-01-01 2020-06-25,web,907
86,14,2020-03-01,234,Baked Goods,PH,2019-01-01 2020-06-25,web,907
87,15,2020-04-01,332,Baked Goods,PH,2019-01-01 2020-06-25,web,907
88,16,2020-05-01,457,Baked Goods,PH,2019-01-01 2020-06-25,web,907
89,17,2020-06-01,285,Baked Goods,PH,2019-01-01 2020-06-25,web,907
90,0,2019-01-01,253,Banking,PH,2019-01-01 2020-06-25,web,37
91,1,2019-02-01,255,Banking,PH,2019-01-01 2020-06-25,web,37
92,2,2019-03-01,322,Banking,PH,2019-01-01 2020-06-25,web,37
93,3,2019-04-01,298,Banking,PH,2019-01-01 2020-06-25,web,37
94,4,2019-05-01,280,Banking,PH,2019-01-01 2020-06-25,web,37
95,5,2019-06-01,372,Banking,PH,2019-01-01 2020-06-25,web,37
96,6,2019-07-01,293,Banking,PH,2019-01-01 2020-06-25,web,37
97,7,2019-08-01,288,Banking,PH,2019-01-01 2020-06-25,web,37
98,8,2019-09-01,349,Banking,PH,2019-01-01 2020-06-25,web,37
99,9,2019-10-01,268,Banking,PH,2019-01-01 2020-06-25,web,37
100,10,2019-11-01,286,Banking,PH,2019-01-01 2020-06-25,web,37
101,11,2019-12-01,378,Banking,PH,2019-01-01 2020-06-25,web,37
102,12,2020-01-01,288,Banking,PH,2019-01-01 2020-06-25,web,37
103,13,2020-02-01,281,Banking,PH,2019-01-01 2020-06-25,web,37
104,14,2020-03-01,360,Banking,PH,2019-01-01 2020-06-25,web,37
105,15,2020-04-01,302,Banking,PH,2019-01-01 2020-06-25,web,37
106,16,2020-05-01,435,Banking,PH,2019-01-01 2020-06-25,web,37
