,index,date,hits,keyword,geo,time,gprop,category
0,0,2019-01-06,56,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
1,1,2019-01-13,50,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
2,2,2019-01-20,52,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
3,3,2019-01-27,52,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
4,4,2019-02-03,56,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
5,5,2019-02-10,59,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
6,6,2019-02-17,52,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
7,7,2019-02-24,57,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
8,8,2019-03-03,54,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
9,9,2019-03-10,51,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
10,10,2019-03-17,57,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
11,11,2019-03-24,54,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
12,12,2019-03-31,52,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
13,13,2019-04-07,48,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
14,14,2019-04-14,51,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
15,15,2019-04-21,50,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
16,16,2019-04-28,53,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
17,17,2019-05-05,59,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
18,18,2019-05-12,55,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
19,19,2019-05-19,52,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
20,20,2019-05-26,62,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
21,21,2019-06-02,57,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
22,22,2019-06-09,57,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
23,23,2019-06-16,59,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
24,24,2019-06-23,65,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
25,25,2019-06-30,62,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
26,26,2019-07-07,59,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
27,27,2019-07-14,59,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
28,28,2019-07-21,60,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
29,29,2019-07-28,62,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
30,30,2019-08-04,59,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
31,31,2019-08-11,52,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
32,32,2019-08-18,65,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
33,33,2019-08-25,58,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
34,34,2019-09-01,59,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
35,35,2019-09-08,57,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
36,36,2019-09-15,57,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
37,37,2019-09-22,57,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
38,38,2019-09-29,57,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
39,39,2019-10-06,63,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
40,40,2019-10-13,61,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
41,41,2019-10-20,53,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
42,42,2019-10-27,59,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
43,43,2019-11-03,59,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
44,44,2019-11-10,61,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
45,45,2019-11-17,59,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
46,46,2019-11-24,62,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
47,47,2019-12-01,63,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
48,48,2019-12-08,69,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
49,49,2019-12-15,77,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
50,50,2019-12-22,100,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
51,51,2019-12-29,91,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
52,52,2020-01-05,72,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
53,53,2020-01-12,78,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
54,54,2020-01-19,62,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
55,55,2020-01-26,65,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
56,56,2020-02-02,65,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
57,57,2020-02-09,72,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
58,58,2020-02-16,65,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
59,59,2020-02-23,61,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
60,60,2020-03-01,61,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
61,61,2020-03-08,94,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
62,62,2020-03-15,84,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
63,63,2020-03-22,68,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
64,64,2020-03-29,63,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
65,65,2020-04-05,65,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
66,66,2020-04-12,64,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
67,67,2020-04-19,65,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
68,68,2020-04-26,63,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
69,69,2020-05-03,61,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
70,70,2020-05-10,62,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
71,71,2020-05-17,66,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
72,72,2020-05-24,64,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
73,73,2020-05-31,66,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
74,74,2020-06-07,66,Alcoholic Beverages,PH,2019-01-01 2020-06-25,web,277
